model_name,model_type,horiz_res_deg,vert_levels,time_step_h,sypd,hardware,hardware_count,accelerators_per_node_assumed,n_accelerators,prognostic_vars,number_param,source,Comments,sypd/(n_accelerators*n_prog*n_lev),T,dx^2 * dt,n_prognostic*n_lev/((dx)^2),n_prognostic*n_lev/(dt*(dx)^2)
ACE2,ai,1,8,6,1505,NVIDIA H100 80GB HBM3,1,1,1,10,450000000,Oliver Watts-Meyer correspondence,,1.88E+01,1.20E+05,6,80,13.33333333
ACE2,ai,4,8,6,3903,NVIDIA H100 80GB HBM3,1,1,1,10,114000000,Oliver Watts-Meyer correspondence,,4.88E+01,3.12E+05,96,5,0.8333333333
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,0,,
CAMulator,ai,1,32,6,450,NVIDIA A100 + 32 CPUs for IO,1,1,1,6,751000000,Will Chapman correspondence,,2.34E+00,8.64E+04,6,192,32
CAMulator Coupled,ai,1,32,6,42,"2 derecho nodes , 1 A100",,,,6,751000000,Will Chapman correspondence,,#DIV/0!,#DIV/0!,6,,
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,0,,
SCREAM_GPU,trad,0.03,128,0.02777777778,0.1596167009,Frontier node (one 64-core AMD “Optimized 3rd Gen” EPYC CPU and 4 AMD Instinct MI250X GPUs),512,4,2048,20,0,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2024MS004314,,3.04E-08,2.00E-01,0.000025,2844444.444,102400000
SCREAM_GPU,trad,0.03,128,0.02777777778,0.2839151266,Frontier node (one 64-core AMD “Optimized 3rd Gen” EPYC CPU and 4 AMD Instinct MI250X GPUs),1024,4,4096,20,0,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2024MS004315,,2.71E-08,1.77E-01,0.000025,2844444.444,102400000
SCREAM_GPU,trad,0.03,128,0.02777777778,0.4807665982,Frontier node (one 64-core AMD “Optimized 3rd Gen” EPYC CPU and 4 AMD Instinct MI250X GPUs),2048,4,8192,20,0,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2024MS004316,,2.29E-08,1.50E-01,0.000025,2844444.444,102400000
SCREAM_GPU,trad,0.03,128,0.02777777778,0.7753593429,Frontier node (one 64-core AMD “Optimized 3rd Gen” EPYC CPU and 4 AMD Instinct MI250X GPUs),4096,4,16384,20,0,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2024MS004317,,1.85E-08,1.21E-01,0.000025,2844444.444,102400000
SCREAM_GPU,trad,0.03,128,0.02777777778,1.148528405,Frontier node (one 64-core AMD “Optimized 3rd Gen” EPYC CPU and 4 AMD Instinct MI250X GPUs),8192,4,32768,20,0,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2024MS004318,,1.37E-08,8.97E-02,0.000025,2844444.444,102400000
SCREAM_GPU,trad,0.03,128,0.02777777778,0.1916495551,Summit node (two IBM Power 9 (AC 922) CPUs with 512 GB of DDR4 memory and six NVIDIA Tesla V100 GPUs with 16 GB of HBM2 memory per GPU),1024,6,6144,20,0,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2024MS004319,,1.22E-08,7.99E-02,0.000025,2844444.444,102400000
SCREAM_GPU,trad,0.03,128,0.02777777778,0.2995208761,Summit node (two IBM Power 9 (AC 922) CPUs with 512 GB of DDR4 memory and six NVIDIA Tesla V100 GPUs with 16 GB of HBM2 memory per GPU),2048,6,12288,20,0,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2024MS004320,,9.52E-09,6.24E-02,0.000025,2844444.444,102400000
SCREAM_GPU,trad,0.03,128,0.02777777778,0.3712525667,Summit node (two IBM Power 9 (AC 922) CPUs with 512 GB of DDR4 memory and six NVIDIA Tesla V100 GPUs with 16 GB of HBM2 memory per GPU),3072,6,18432,20,0,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2024MS004321,,7.87E-09,5.16E-02,0.000025,2844444.444,102400000
SCREAM_GPU,trad,0.03,128,0.02777777778,0.4281998631,Summit node (two IBM Power 9 (AC 922) CPUs with 512 GB of DDR4 memory and six NVIDIA Tesla V100 GPUs with 16 GB of HBM2 memory per GPU),4096,6,24576,20,0,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2024MS004322,,6.81E-09,4.46E-02,0.000025,2844444.444,102400000
